Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 00001,Jernbanevej,Denmark,white,wrinkly,No,No,,,,,,,NBC 00001,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00002,Jernbanevej,Denmark,white,wrinkly,reduced ZOI,reduzed ZOI,,Yes,Yes,,,,NBC 00002,Backyard where Pep used to live in Lyngby,Lyngby,"55 16' 18"" N,  12 30' 4""  E",2016-07-25,Pep Charusanti,,
NBC 00003,Lyngby lake,Denmark,white/brown,wrinkly,No,No,10/17/2016,,Yes,,,,NBC 00003,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00005,Lyngby lake,Denmark,"black base, white aerial mycelia",bumpy,No,No,10/17/2016,,Yes,,,,NBC 00005,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00006,Lyngby lake,Denmark,beige/cream,wrinkly,No,No,10/17/2016,Yes,,,,,NBC 00006,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00007,Lyngby lake,Denmark,beige/cream,bumpy,No,No,10/17/2016,Yes,,,,,NBC 00007,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00008,Lyngby lake,Denmark,,,No,No,10/23/2016,,Yes,,,,NBC 00008,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00009,Lyngby lake,Denmark,beige & white,wrinkly,No,No,10/23/2016,,,,,"Slow grower, but definitely evolve this one",NBC 00009,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00010,Lyngby lake,Denmark,,,,,,,,,,,NBC 00010,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00011,Lyngby lake,Denmark,,,,,,,,,,,NBC 00011,Under a log near the water,Lyngby Sø,"55 46' 24"" N,  12 29' 34""  E",2016-07-25,Pep Charusanti,,
NBC 00012,Fresh air,Denmark,white/gray,flat/smooth,No,No,10/17/2016,Yes,,,,Fast grower.  Morphology is very similar to that of S. venezuelae,NBC 00012,Bench next to CFB building in Hørsholm,Hørsholm / CFB,,2016-08-26,Pep Charusanti,,
NBC 00013,DTU rich hill,Denmark,"orange base, white gray aerial mycelia",flat/smooth,No,No,10/17/2016,,,,,,NBC 00013,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00014,DTU rich hill,Denmark,"white, with small pinkish dots",bumpy,No,Yes,10/17/2016,Yes,,,,,NBC 00014,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00015,DTU rich hill,Denmark,white,small bumps,reduced ZOI,reduzed ZOI,10/17/2016,Yes,Yes,,,,NBC 00015,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00016,DTU rich hill,Denmark,off-white,mountain-like,No,No,10/17/2016,Yes,,,,,NBC 00016,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00017,DTU rich hill,Denmark,red,bumpy,unsure,unsure,10/17/2016,,,,,,NBC 00017,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00018,DTU rich hill,Denmark,pink,wrinkly,No,1 mm,10/17/2016,,Yes,,,,NBC 00018,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00019,DTU rich hill,Denmark,,,No,No,10/23/2016,,,,,,NBC 00019,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00020,DTU rich hill,Denmark,,,,,10/17/2016,,,,,,NBC 00020,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00021,DTU rich hill,Denmark,,,,,10/17/2016,,,,,,NBC 00021,Small hill with plants just outside CFB (DTU campus).  Plants were all very dark green.  Soil clearly had lots of nutrients,DTU ,"55 47' 13"" N,  12 31' 8"" E",2016-08-26,Pep Charusanti,,
NBC 00022,Christiania little pot,Denmark,yellow,wrinkly,No,No,10/17/2016,,,,,,NBC 00022,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
NBC 00023,Christiania little pot,Denmark,yellow/orange,wrinkly,No,No,10/17/2016,,,,,,NBC 00023,"Christiania, soil collected between a pot plant and a chili plant, both growing in a window planter box",Copenhagen,"55° 40' 24"" N   12° 36' 3"" E",2016-09-02,Pep Charusanti,,
